Instrument, Technique, Path
bass-clarinet, staccato, /patches/bass-clarinet/staccato.json
bassoon, staccato, /patches/bassoon/staccato.json
clarinet, staccato, /patches/clarinet/staccato.json
contrabass, pizzicato, /patches/contrabass/pizzicato.json
contrabass, spiccato, /patches/contrabass/spiccato.json
contrabass-section, pizzicato, /patches/contrabass-section/pizzicato.json
contrabass-section, staccato, /patches/contrabass-section/staccato.json
contrabass-section, tremolo, /patches/contrabass-section/tremolo.json
cor-anglais, staccato, /patches/cor-anglais/staccato.json
flute, staccato, /patches/flute/staccato.json
horn, mute, /patches/horn/mute.json
horn, staccato, /patches/horn/staccato.json
oboe, staccato, /patches/oboe/staccato.json
piccolo, staccato, /patches/piccolo/staccato.json
timpani, roll, /patches/timpani/roll.json
trombone, staccato, /patches/trombone/staccato.json
trumpet, mute, /patches/trumpet/mute.json
trumpet, staccato, /patches/trumpet/staccato.json
tuba, staccato, /patches/tuba/staccato.json
viola, pizzicato, /patches/viola/pizzicato.json
viola, staccato, /patches/viola/staccato.json
viola-section, pizzicato, /patches/viola-section/pizzicato.json
viola-section, spiccato, /patches/viola-section/spiccato.json
viola-section, tremolo, /patches/viola-section/tremolo.json
violin, pizzicato, /patches/violin/pizzicato.json
violin, spiccato, /patches/violin/spiccato.json
violin, tremolo, /patches/violin/tremolo.json
violin-1-section, pizzicato, /patches/violin-1-section/pizzicato.json
violin-1-section, staccato, /patches/violin-1-section/staccato.json
violin-1-section, tremolo, /patches/violin-1-section/tremolo.json
violin-2-section, pizzicato, /patches/violin-2-section/pizzicato.json
violin-2-section, staccato, /patches/violin-2-section/staccato.json
violin-2-section, tremolo, /patches/violin-2-section/tremolo.json
violoncello, pizzicato, /patches/violoncello/pizzicato.json
violoncello, staccato, /patches/violoncello/staccato.json
violoncello-section, pizzicato, /patches/violoncello-section/pizzicato.json
violoncello-section, spiccato, /patches/violoncello-section/spiccato.json
violoncello-section, tremolo, /patches/violoncello-section/tremolo.json
alto-flute, natural, /patches/alto-flute/natural.json
bass-clarinet, natural, /patches/bass-clarinet/natural.json
bassoon, natural, /patches/bassoon/natural.json
bass-trombone, natural, /patches/bass-trombone/natural.json
celesta, natural, /patches/celesta/natural.json
chorus-female, natural, /patches/chorus-female/natural.json
chorus-male, natural, /patches/chorus-male/natural.json
clarinet, natural, /patches/clarinet/natural.json
contrabass, natural, /patches/contrabass/natural.json
contrabassoon, natural, /patches/contrabassoon/natural.json
contrabass-section, natural, /patches/contrabass-section/natural.json
cor-anglais, natural, /patches/cor-anglais/natural.json
flute, natural, /patches/flute/natural.json
glockenspiel, natural, /patches/glockenspiel/natural.json
harp, natural, /patches/harp/natural.json
horn, natural, /patches/horn/natural.json
marimba, natural, /patches/marimba/natural.json
oboe, natural, /patches/oboe/natural.json
piano, natural, /patches/piano/natural.json
piccolo, natural, /patches/piccolo/natural.json
timpani, natural, /patches/timpani/natural.json
trombone, natural, /patches/trombone/natural.json
trumpet, natural, /patches/trumpet/natural.json
tuba, natural, /patches/tuba/natural.json
vibraphone, natural, /patches/vibraphone/natural.json
viola, natural, /patches/viola/natural.json
viola-section, natural, /patches/viola-section/natural.json
violin-1-section, natural, /patches/violin-1-section/natural.json
violin-2-section, natural, /patches/violin-2-section/natural.json
violin, natural, /patches/violin/natural.json
violoncello, natural, /patches/violoncello/natural.json
violoncello-section, natural, /patches/violoncello-section/natural.json
xylophone, natural, /patches/xylophone/natural.json
