Instrument, Technique, Path
alto-flute, natural, /output/alto-flute/natural.json
bass-clarinet, natural, /output/bass-clarinet/natural.json
bass-clarinet, staccato, /output/bass-clarinet/staccato.json
bass-trombone, natural, /output/bass-trombone/natural.json
bassoon, natural, /output/bassoon/natural.json
bassoon, staccato, /output/bassoon/staccato.json
celesta, natural, /output/celesta/natural.json
chorus-female, natural, /output/chorus-female/natural.json
chorus-male, natural, /output/chorus-male/natural.json
clarinet, natural, /output/clarinet/natural.json
clarinet, staccato, /output/clarinet/staccato.json
contrabass, natural, /output/contrabass/natural.json
contrabass, pizzicato, /output/contrabass/pizzicato.json
contrabass, spiccato, /output/contrabass/spiccato.json
contrabass-section, natural, /output/contrabass-section/natural.json
contrabass-section, pizzicato, /output/contrabass-section/pizzicato.json
contrabass-section, staccato, /output/contrabass-section/staccato.json
contrabass-section, tremolo, /output/contrabass-section/tremolo.json
contrabassoon, natural, /output/contrabassoon/natural.json
cor-anglais, natural, /output/cor-anglais/natural.json
cor-anglais, staccato, /output/cor-anglais/staccato.json
flute, natural, /output/flute/natural.json
flute, staccato, /output/flute/staccato.json
glockenspiel, natural, /output/glockenspiel/natural.json
harp, natural, /output/harp/natural.json
horn, mute, /output/horn/mute.json
horn, natural, /output/horn/natural.json
horn, staccato, /output/horn/staccato.json
marimba, natural, /output/marimba/natural.json
oboe, natural, /output/oboe/natural.json
oboe, staccato, /output/oboe/staccato.json
piano, natural, /output/piano/natural.json
piccolo, natural, /output/piccolo/natural.json
piccolo, staccato, /output/piccolo/staccato.json
timpani, natural, /output/timpani/natural.json
timpani, roll, /output/timpani/roll.json
trombone, natural, /output/trombone/natural.json
trombone, staccato, /output/trombone/staccato.json
trumpet, mute, /output/trumpet/mute.json
trumpet, natural, /output/trumpet/natural.json
trumpet, staccato, /output/trumpet/staccato.json
tuba, natural, /output/tuba/natural.json
tuba, staccato, /output/tuba/staccato.json
vibraphone, natural, /output/vibraphone/natural.json
viola, natural, /output/viola/natural.json
viola, pizzicato, /output/viola/pizzicato.json
viola, staccato, /output/viola/staccato.json
viola-section, natural, /output/viola-section/natural.json
viola-section, pizzicato, /output/viola-section/pizzicato.json
viola-section, spiccato, /output/viola-section/spiccato.json
viola-section, tremolo, /output/viola-section/tremolo.json
violin, natural, /output/violin/natural.json
violin, pizzicato, /output/violin/pizzicato.json
violin, spiccato, /output/violin/spiccato.json
violin, tremolo, /output/violin/tremolo.json
violin-1-section, natural, /output/violin-1-section/natural.json
violin-1-section, pizzicato, /output/violin-1-section/pizzicato.json
violin-1-section, staccato, /output/violin-1-section/staccato.json
violin-1-section, tremolo, /output/violin-1-section/tremolo.json
violin-2-section, natural, /output/violin-2-section/natural.json
violin-2-section, pizzicato, /output/violin-2-section/pizzicato.json
violin-2-section, staccato, /output/violin-2-section/staccato.json
violin-2-section, tremolo, /output/violin-2-section/tremolo.json
violoncello, natural, /output/violoncello/natural.json
violoncello, pizzicato, /output/violoncello/pizzicato.json
violoncello, staccato, /output/violoncello/staccato.json
violoncello-section, natural, /output/violoncello-section/natural.json
violoncello-section, pizzicato, /output/violoncello-section/pizzicato.json
violoncello-section, spiccato, /output/violoncello-section/spiccato.json
violoncello-section, tremolo, /output/violoncello-section/tremolo.json
xylophone, natural, /output/xylophone/natural.json
