Instrument, Technique, Path
horn, natural, /output/horn/natural.json
kit-crash, natural, /output/kit-crash/natural.json
violin, natural, /output/violin/natural.json
oboe, natural, /output/oboe/natural.json
flute, staccato, /output/flute/staccato.json
violoncello, staccato, /output/violoncello/staccato.json
oboe, staccato, /output/oboe/staccato.json
timpani, natural, /output/timpani/natural.json
xylophone, natural, /output/xylophone/natural.json
timpani, roll, /output/timpani/roll.json
snare, natural, /output/snare/natural.json
violin, tremolo, /output/violin/tremolo.json
viola, natural, /output/viola/natural.json
viola, staccato, /output/viola/staccato.json
gong, natural, /output/gong/natural.json
horn, mute, /output/horn/mute.json
violin, pizzicato, /output/violin/pizzicato.json
viola, pizzicato, /output/viola/pizzicato.json
horn, staccato, /output/horn/staccato.json
acoustic-guitar, natural, /output/acoustic-guitar/natural.json
clarinet, natural, /output/clarinet/natural.json
trombone, staccato, /output/trombone/staccato.json
glockenspiel, natural, /output/glockenspiel/natural.json
harpsichord, natural, /output/harpsichord/natural.json
percussion, misc, /output/percussion/misc.json
bass-guitar, natural, /output/bass-guitar/natural.json
bassoon, natural, /output/bassoon/natural.json
alto-saxophone, staccato, /output/alto-saxophone/staccato.json
kit-kicks, natural, /output/kit-kicks/natural.json
violoncello, natural, /output/violoncello/natural.json
piano, natural, /output/piano/natural.json
alto-saxophone, natural, /output/alto-saxophone/natural.json
violin, spiccato, /output/violin/spiccato.json
kit-hihat, natural, /output/kit-hihat/natural.json
distortion-guitar, natural, /output/distortion-guitar/natural.json
celesta, natural, /output/celesta/natural.json
kit-snare, natural, /output/kit-snare/natural.json
flute, natural, /output/flute/natural.json
violoncello, pizzicato, /output/violoncello/pizzicato.json
bassoon, staccato, /output/bassoon/staccato.json
trombone, natural, /output/trombone/natural.json
clarinet, staccato, /output/clarinet/staccato.json
